"cinema_id","rating","avg_revenue"
1,"R","378.13"
1,"PG","200.00"
1,"G","168.75"
1,"PG-13","131.96"
2,"PG","292.50"
2,"PG-13","286.56"
2,"R","222.50"
2,"G","180.00"
3,"PG","190.00"
3,"R","162.50"
3,"PG-13","159.58"
4,"R","258.75"
4,"PG-13","240.00"
4,"PG","174.38"
5,"R","298.13"
5,"PG-13","240.31"
5,"PG","202.50"
6,"PG-13","265.45"
6,"R","210.63"
6,"PG","106.25"
7,"R","275.63"
7,"PG-13","247.50"
7,"PG","180.00"
8,"R","258.75"
8,"PG-13","240.00"
8,"PG","174.38"
9,"R","275.63"
9,"PG-13","247.50"
9,"PG","185.63"
10,"R","258.75"
10,"PG-13","241.88"
10,"PG","172.50"
